cue,response,count
2008,jaar,30
2008,2009,19
2008,nu,13
2008,crisis,11
Amerikaans,obama,18
Amerikaans,hamburger,15
Amerikaans,president,12
Amerikaans,dik,10
België,land,47
België,klein,22
België,vlaanderen,18
België,koning,16
Brits,engels,33
Brits,humor,12
Brits,londen,12
Brits,eiland,10
Christus,jezus,52
Christus,geloof,33
Christus,kruis,22
Christus,kerk,21
DJ,muziek,74
DJ,dansen,14
DJ,feest,13
DJ,fuif,13
Duitsers,oorlog,33
Duitsers,bier,12
Duitsers,hitler,12
Duitsers,moffen,10
Engeland,londen,28
Engeland,eiland,27
Engeland,queen,11
Engeland,regen,10
Engels,taal,59
Engels,engeland,26
Engels,frans,14
Engels,amerika,10
Frans,taal,63
Frans,frankrijk,20
Frans,vakantie,11
Frans,parijs,10
Griek,restaurant,20
Griek,eten,16
Griek,zon,14
Griek,athene,11
Hollands,kaas,47
Hollands,nederlands,28
Hollands,nederland,15
Hollands,taal,13
India,armoede,18
India,land,18
India,arm,8
India,groot,7
Italië,rome,33
Italië,pizza,25
Italië,zon,24
Italië,pasta,16
Japans,sushi,23
Japans,eten,17
Japans,taal,17
Japans,chinees,12
Jood,oorlog,18
Jood,antwerpen,14
Jood,israel,14
Jood,krullen,10
Londen,engeland,33
Londen,big ben,18
Londen,hoofdstad,17
Londen,stad,16
Russisch,taal,32
Russisch,koud,24
Russisch,moeilijk,15
Russisch,moskou,13
Spaans,taal,45
Spaans,spanje,24
Spaans,warm,17
Spaans,zon,17
TGV,trein,63
TGV,snel,43
TGV,parijs,27
TGV,frankrijk,20
Venus,planeet,68
Venus,vrouw,27
Venus,mars,23
Venus,godin,18
Zweden,land,28
Zweden,koud,20
Zweden,blond,15
Zweden,noorden,13
aaien,strelen,51
aaien,lief,35
aaien,zacht,29
aaien,poes,23
aak,boot,51
aak,rivier,16
aak,schip,14
aal,paling,57
aal,vis,49
aal,glad,30
aal,glibberig,18
aalbes,rood,38
aalbes,bos,19
aalbes,fruit,18
aalmoes,bedelaar,43
aalmoes,bedelen,27
aalmoes,geld,27
aalmoes,arm,21
aambeeld,smid,41
aambeeld,hamer,38
aambeeld,ijzer,21
aambei,pijn,36
aambei,pijnlijk,25
aambei,aars,21
aan,uit,53
aan,licht,11
aan,voor,11
aan,af,10
aanbellen,deur,46
aanbellen,bel,21
aanbellen,bezoek,19
aanbieden,geven,52
aanbieden,krijgen,8
aanbieden,offerte,8
aanbieding,koopje,26
aanbieding,solden,25
aanbieding,reclame,16
aanbieding,goedkoop,12
aanbod,vraag,20
aanbod,voorstel,11
aanbod,winkel,11
aanbranden,zwart,35
aanbranden,koken,20
aanbranden,vlees,20
aanbranden,pan,17
aanbreken,beginnen,45
aanbreken,dag,39
aanbreken,ochtend,18
aandacht,concentratie,28
aandacht,luisteren,19
aandacht,attentie,18
aandacht,opletten,14
aandachtig,luisteren,24
aandachtig,geconcentreerd,21
aandachtig,concentratie,13
aandachtig,opletten,13
aandeel,geld,43
aandeel,beurs,35
aandeel,bank,22
aandeel,fortis,13
aandelen,geld,53
aandelen,bank,34
aandelen,beurs,31
aandelen,fortis,15
aandoen,kleding,23
aandoen,kleren,20
aandoen,aantrekken,17
aandoen,pijn,14
aandoening,ziekte,85
aandoening,pijn,14
aandoening,dokter,10
aandoening,handicap,8
aandraaien,schroef,15
aandraaien,schroevendraaier,13
aandraaien,vijs,13
aandrang,druk,12
aandrang,moeten,12
aandrang,dringend,11
aandrijvend,motor,48
aandrijvend,kracht,14
aandrijvend,auto,13
aanduiden,wijzen,52
aanduiden,tonen,27
aanduiden,vinger,22
aanduiden,aanwijzen,18
aangaan,verbintenis,21
aangaan,relatie,18
aangaan,beginnen,12
aangaande,betreffende,49
aangaande,over,29
aangaande,betreft,12
aangapen,staren,60
aangapen,kijken,19
aangapen,onbeleefd,18
aangapen,bekijken,14
aangeboren,afwijking,27
aangeboren,erfelijk,23
aangeboren,genetisch,19
aangeboren,ziekte,16
aangedaan,ontroerd,22
aangedaan,emotie,14
aangedaan,emotioneel,13
aangedaan,verdriet,13
aangelegenheid,zaak,22
aangelegenheid,feest,17
aangelegenheid,gebeurtenis,17
aangenaam,leuk,33
aangenaam,gezellig,21
aangenaam,warm,21
aangenaam,fijn,16
aangeven,politie,41
aangeven,aanreiken,11
aangeven,diefstal,10
aangezicht,gezicht,36
aangezicht,gelaat,26
aangezicht,ogen,26
aangezicht,neus,24
aangezien,omdat,55
aangezien,daar,16
aangezien,daarom,16
aanhangwagen,auto,25
aanhangwagen,trekhaak,19
aanhangwagen,remorque,15
aanhouden,politie,34
aanhouden,volhouden,15
aanhouden,winnen,14
